Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_111,genotype,2025-01-20 12:53:49,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:49,,snps_500,True,
dataset_112,genotype,2025-01-20 12:53:49,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:49,,snps_500,True,
dataset_113,genotype,2025-01-20 12:53:52,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:52,,snps_500,True,
dataset_114,genotype,2025-01-20 12:53:54,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:54,,snps_500,True,
dataset_115,genotype,2025-01-20 12:53:54,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:54,,snps_500,True,
dataset_116,genotype,2025-01-20 12:53:54,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:54,,snps_500,True,
dataset_117,genotype,2025-01-20 12:53:54,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:54,,snps_1000,False,
dataset_118,genotype,2025-01-20 12:53:57,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:57,,snps_1000,True,
dataset_119,genotype,2025-01-20 12:53:59,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:59,,snps_1000,True,
dataset_120,genotype,2025-01-20 12:53:59,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:59,,snps_1000,True,
dataset_121,genotype,2025-01-20 12:53:59,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:59,,snps_1000,True,
dataset_122,genotype,2025-01-20 12:54:02,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:01,,snps_1000,True,
dataset_123,genotype,2025-01-20 12:54:04,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:04,,snps_1000,True,
dataset_124,genotype,2025-01-20 12:54:04,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:04,,snps_1000,True,
dataset_125,genotype,2025-01-20 12:54:04,66,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:04,,snps_1000,True,
dataset_126,genotype,2025-01-20 12:54:04,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:04,,snps_5000,False,
dataset_127,genotype,2025-01-20 12:54:08,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:07,,snps_5000,True,
dataset_128,genotype,2025-01-20 12:54:11,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:10,,snps_5000,True,
dataset_129,genotype,2025-01-20 12:54:11,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:11,,snps_5000,True,
dataset_130,genotype,2025-01-20 12:54:12,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:12,,snps_5000,True,
dataset_131,genotype,2025-01-20 12:54:15,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:15,,snps_5000,True,
dataset_132,genotype,2025-01-20 12:54:18,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:18,,snps_5000,True,
dataset_133,genotype,2025-01-20 12:54:19,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:18,,snps_5000,True,
dataset_134,genotype,2025-01-20 12:54:19,354,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:19,,snps_5000,True,
dataset_135,genotype,2025-01-20 12:54:20,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:19,,snps_10000,False,
dataset_136,genotype,2025-01-20 12:54:24,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:23,,snps_10000,True,
dataset_137,genotype,2025-01-20 12:54:28,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:27,,snps_10000,True,
dataset_138,genotype,2025-01-20 12:54:29,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:29,,snps_10000,True,
dataset_139,genotype,2025-01-20 12:54:30,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:30,,snps_10000,True,
dataset_140,genotype,2025-01-20 12:54:34,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:34,,snps_10000,True,
dataset_141,genotype,2025-01-20 12:54:38,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:38,,snps_10000,True,
dataset_142,genotype,2025-01-20 12:54:39,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:39,,snps_10000,True,
dataset_143,genotype,2025-01-20 12:54:40,741,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:40,,snps_10000,True,
dataset_144,genotype,2025-01-20 12:54:41,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:41,,snps_annotated_50,False,
dataset_145,genotype,2025-01-20 12:54:44,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:44,,snps_annotated_50,True,
dataset_146,genotype,2025-01-20 12:54:47,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:47,,snps_annotated_50,True,
dataset_147,genotype,2025-01-20 12:54:48,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:47,,snps_annotated_50,True,
dataset_148,genotype,2025-01-20 12:54:48,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:48,,snps_annotated_50,True,
dataset_149,genotype,2025-01-20 12:54:51,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:51,,snps_annotated_50,True,
dataset_150,genotype,2025-01-20 12:54:54,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:54,,snps_annotated_50,True,
dataset_151,genotype,2025-01-20 12:54:55,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:55,,snps_annotated_50,True,
dataset_152,genotype,2025-01-20 12:54:56,432,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:56,,snps_annotated_50,True,
dataset_153,genotype,2025-01-20 12:54:56,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:54:56,,snps_annotated_200,False,
dataset_154,genotype,2025-01-20 12:55:02,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:02,,snps_annotated_200,True,
dataset_155,genotype,2025-01-20 12:55:08,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:07,,snps_annotated_200,True,
dataset_156,genotype,2025-01-20 12:55:10,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:10,,snps_annotated_200,True,
dataset_157,genotype,2025-01-20 12:55:13,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:12,,snps_annotated_200,True,
dataset_158,genotype,2025-01-20 12:55:19,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:18,,snps_annotated_200,True,
dataset_159,genotype,2025-01-20 12:55:24,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:24,,snps_annotated_200,True,
dataset_160,genotype,2025-01-20 12:55:27,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:26,,snps_annotated_200,True,
dataset_161,genotype,2025-01-20 12:55:29,1347,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:29,,snps_annotated_200,True,
dataset_162,genotype,2025-01-20 12:55:31,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:30,,snps_annotated_500,False,
